name,phone,money,rating,reviewCount,detail_url,business_website,popular_dishes,address,claimed,type,business_highlights,business_owner,about_business
Bonita Taqueria Y Rotisserie,(415) 552-2125,$$,4.4,92,https://www.yelp.com/biz/bonita-taqueria-y-rotisserie-san-francisco-3?osq=Restaurants,sfbonita.com,"Rotisserie Chicken Fajitas, Mahi Mahi Fajitas, Carne Asada Fajitas, Bonita Bowl, Tortilla Soup, Mexican Street Tacos, Friscodilla, La Campesina Ensalada, Nor-cal Bowl","3600 16th St San Francisco, CA 94114",Claimed,Mexican,"Offers Delivery,Offers Takeout,Accepts Credit Cards",,"speciality:


historyText:


businessOwnerBio:
"
Willkommen,(415) 766-9225,$$,4.1,228,https://www.yelp.com/biz/willkommen-san-francisco-8?osq=Restaurants,willkommen.beer,"Currywurst, Berliner, Smoked Hot Beer Sausage, Chicken Cherry Sausage, Cheddar Brat, Chicken Habanero, Bavarian Plate, Hot Dog, Sf Style Wurst, Duo Sausage Plate, Cheese Spaetzle","2198 Market St San Francisco, CA 94114",Claimed,"German, Breweries, Gluten-Free","Takes Reservations,Offers Delivery,Offers Takeout,Walk-ins Welcome",,"speciality:
We've brought the outdoors in to San Francisco's only indoor, sun-drenched beer garden, complete with living wall, 14' maple trees, sausages and German-style cuisine by Rosamunde and beer by Black Hammer Brewing.

historyText:
None

businessOwnerBio:
None"
Bay Pocha,(415) 564-1500,$$,4,47,https://www.yelp.com/biz/bay-pocha-san-francisco?osq=Restaurants,,"Pork Belly, Soft Tofu Stew, Bibimbap, Spicy Chicken Feet Aka. Dakbal, Chicken Wings, Bulgogi, Braised Pork Belly Aka. Bossam, Galbi, Kimchi Fried Rice, Spicy Fried Chicken Wings, Steamed Egg, Spicy Pork, Spicy Rice Cake, Omelette Rice, Braised Beef Short Ribs Aka. Galbijjim, Sausage Stew Aka. Army Stew, Stir-fried Baby Octopus, Carbonara Rice Cake, Bulgogi Mushroom Hotpot, Fish Roe Stew","2642 Ocean Ave San Francisco, CA 94132",Claimed,Korean,"Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:
Korean food and Anju (Korean tapas for drinks) 

historyText:
None

businessOwnerBio:
None"
Breakfast at Tiffany’s,(415) 468-8805,$$,4,1141,https://www.yelp.com/biz/breakfast-at-tiffanys-san-francisco?osq=Restaurants,breakfastattiffanyssf.com,"Eggs Benedict, Buttermilk Fried Chicken Sandwich, Loco Moco Benedict, Trio Benedict, French Toast Special, Veggie Omelette, Country Fried Steak, Waffle Special, De La Casa, Corned Beef Benedict, Stella by Starlight ""the Works""","2499 San Bruno Ave San Francisco, CA 94134",Claimed,"Diners, Breakfast & Brunch, American (Traditional)","Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Cholita Linda,(628) 213-8979,$$,4.4,168,https://www.yelp.com/biz/cholita-linda-san-francisco-4?osq=Restaurants,cholitalinda.com,"Fish Tacos, Baja Fish, Carne Asada Taco, Mango Agua Fresca, Carnitas Tacos, Chicharron De Pollo, Papito Sandwich, Al Pastor Tacos, Pollo Pastor Taco, Maizena De Coco, Asado Sandwich, Strawberry Agua, Cubano Sandwich, Pollo Astor Chicken Tacos, Pescado Frito Plate, Tofu Tacos, Cuban Sandwich, Chips and Guacamole, Aji Amarillo, Tostones","1 Ferry Building Ste 44 San Francisco, CA 94111",Claimed,"Latin American, Sandwiches, Tacos","Offers Delivery,Offers Takeout",,"speciality:
Cholita Linda focuses on food made with love. It's our goal that every bite be filled with the tradition, flavor and warmth that makes Latin America so special. Come try our sandwiches, tacos, and salads! Available for Delivery and Take out.

historyText:
None

businessOwnerBio:
None"
Queen’s Louisiana Po-Boy Cafe,(415) 397-1507,$$,3.8,705,https://www.yelp.com/biz/queens-louisiana-po-boy-cafe-san-francisco?osq=Restaurants,Fisherman's Wharf,"Fried Chicken, Shrimp Po Boy, Fried Oyster, Oyster Po Boy, Clam Chowder, Seafood Gumbo, Red Beans and Rice, Fried Shrimp, Catfish Po Boy, Fish and Chips, Fried Catfish, Single Po Boy Sandwich, Gulf Shrimp, Soft Shell Crab, Fish Tacos, Baja Shrimp Tacos, Chicken Po Boy, Chicken Tenders, Hot Sausage","33 The Embarcadero Ste 100 San Francisco, CA 94133",Claimed,"Cajun/Creole, Southern, Seafood","Offers Takeout,Many Vegetarian Options",Troy R.,"speciality:
Welcome to Queen's Louisiana Po-Boy Cafe, the original, premier and authentic Po-Boy Cafe in the San Francisco Bay Area. Come and enjoy our unique, over stuffed sandwiches and specialties that originated in the heart of New Orleans. At our cafe, you will enjoy the best Creole and Cajun dishes native to Southwestern Louisiana. 

As our name implies, we specialize in Po-Boys, the original Louisiana sandwich.  Our sandwiches are served on a Louisiana-style, light and crusty French Pistolet (baguette).  Our Pistolet are shipped directly to us from New Orleans, LA.  We specialize in authentic products such as our Gulf Shrimp and catfish, Louisiana Community Coffee, Zaps Potato Chips and Abita Bear.

We also do catering! Queen's Louisiana Po-Boy Cafe would love to cater your next event or party. Call us for information.

historyText:
Louisiana cuisine is at the heart of our unique culture created by the fusion of African, Native American and European Ancestry.  Here at Queen's, we aspire to embody the true principles of Louisiana food by using authentic products and fresh ingredients.

businessOwnerBio:
So come and join us! &nbsp;We&#39;ve created an atmosphere of warmth and Southern hospitality that is definitely unique with emphasis on the culture of Louisiana. Join us and share the heritage of Louisiana! &nbsp;You are guaranteed to enjoy big flavors and original spices and most of all, the unsurpassed rustic sandwich."
"Bon, Nene",(415) 872-9332,$$,4.2,377,https://www.yelp.com/biz/bon-nene-san-francisco?osq=Restaurants,bonnene.com,"Chicken Bun, Hijiki Salad, Panna Cotta","2850 21st St San Francisco, CA 94110",Claimed,"Japanese, Asian Fusion","Takes Reservations,Offers Delivery,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Matterhorn Restaurant &amp; Bakery,(415) 829-7540,$$$,4.6,152,https://www.yelp.com/biz/matterhorn-restaurant-and-bakery-san-francisco-2?osq=Restaurants,matterhornsf.com,"Cheese Fondue, Beef Fondue, Pork Schnitzel, French Onion Soup, Raclette, Chocolate Fondue, Emmental Fondue, Green Salad, White, Air Dried Beef Charcuterie, Spatzle, Heimat, Meat Fondue, Veal Zurich, Charcuterie Plate, Savoyarde Fondue, Traditional Fondue, Smoked Salmon, Berner Rosti, Pecan Pie","2323 Van Ness Ave San Francisco, CA 94109",Claimed,"Modern European, Fondue","Takes Reservations,Offers Takeout",,"speciality:


historyText:


businessOwnerBio:
"
Dalida,(415) 237-1999,$$$,4.7,129,https://www.yelp.com/biz/dalida-san-francisco-2?osq=Restaurants,dalidasf.com,"Course Istanbul Modern Dinner, Su Borek, Lamb Shoulder Tandoor, Octopus, Mediterranean, Presidio Rose Tres Leches, Sous Vide Lamb Shank, California Tahdig, Cypriot Lamb Chops, Roasted Cauliflower, Fattoush, Muhammara, Sujuk, Iberico Pork Souvlaki, Lamb Ribs, Eggplant Rolls, Biji Biji Homemade Turkish Kaymak, Wild Pistachio, Albacore, Lamb Meatballs","101 Montgomery St Main Post Ste 100 San Francisco, CA 94129",Claimed,"Mediterranean, Turkish, Bars","Takes Reservations,Vegan Options",Laura and Sayat O.,"speciality:
Dalida is a restaurant that is inspired by the genuine hospitality, fresh ingredients, familiar flavors, and deep culture of the Eastern Mediterranean. It's an upscale, full-service restaurant that offers fun luxury, elements of surprise, and the comfort of nostalgia. The atmosphere and vibe is elegant and confident yet relaxed. The restaurant is in the Presidio National Park, on the South Western corner of the Main Parade Lawn in the Presidio in a corner location. The front porch overlooks a beautiful lawn stretching all the way to Alcatraz. The restaurant features a main dining room, a private dining room, and a beautiful kitchen counter with windows on both sides.

historyText:
We are a husband and wife operating a pop-up restaurant and catering service, which we established after moving to San Francisco from New York. Between the two of us, we worked at 5 out of the worlds 50 best restaurants. These include Saison, Blue Hill at Stone Barns, Le Bernardin, Eleven Madison Park and Mugaritz. We are now cooking Istanbul-themed Middle Eastern Food. Sayat is from Istanbul.

businessOwnerBio:
We have been cooking in fine dining for many years and always noticed that Middle Eastern flavors get neglected and misunderstood. Prior to our arrival in San Francisco, we did a restaurant work trip that included 25 restaurants and 18 cities in the United States. We noticed, we can do something great with a blank canvas. Here we are with Istanbul Modern and enjoying every moment of the journey."
Abrazo,(415) 872-9239,$$$,4.5,177,https://www.yelp.com/biz/abrazo-san-francisco-2?osq=Restaurants,abrazosf.com,"Seafood Paella, Charred Octopus, Lamb Shank, Steak Tartare, Saffron Panna Cotta, Roasted Chicken, Arctic Char, Ricotta Churros, Patatas Bravas, Flan, Pork Tenderloin, New York Strip, Roasted Carrots, Pork Loin, Tagliatini, Butter Lettuce, Saffron Tortellini, Braised Lamb, Gulf Prawns, Grilled Octopus","2000 Hyde St San Francisco, CA 94109",Claimed,"Spanish, American (New), Seafood","Takes Reservations,Offers Delivery,Offers Takeout",Michael P.,"speciality:
Spanish-Californian cuisine from a Top-100 Chef

historyText:
Chef/Owner Michael Pawlik opened Abrazo in December of 2018.

businessOwnerBio:
Previously the executive chef at nearby Frascati, Michael Pawlik has taken the leap and branched out on his own to open a passion project that is Abrazo."
Kin Khao,(415) 362-7456,$$$,3.8,2361,https://www.yelp.com/biz/kin-khao-san-francisco-2?osq=Restaurants,Parc 55 San Francisco - a Hilton Hotel,"Mushroom Hor Mok, Caramelized Pork Belly, Pretty Hot Wings, Pad Kee Mao, Yaowaraj Noodle, Nam Tok, Green Curry, Hor Mok Terrine, Khao Soi, Plah Pla Muek, Massaman Nuea, Rabbit Curry, Massaman Curry, Pad Thai, Braised Beef Cheeks, Khao Mun Gai, Papaya Salad, Chicken Wings, Khao Kan Jin, Namprik Long Rua","55 Cyril Magnin St San Francisco, CA 94102",Claimed,Thai,Takes Reservations,Pim T.,"speciality:
Kin Khao serves delicious Thai food that stays true to its origin, made with seasonal produce and sustainably raised or caught meats and seafood. We make all our curry pastes, sauces, and relishes in-house daily. Other staples we must buy-like Nam Pla fish sauce and Kapi shrimp paste-we source only the best from Thailand. We invite you to taste the difference.Kin = eat; Khao = rice In Thailand, to eat is to eat rice. So, colloquially, when we say ""kin khao"" we mean ""to eat"" or ""let's eat""

historyText:
None

businessOwnerBio:
Born and raised in Bangkok, Pim took a circuitous route through the world of food-from writing, teaching, to award-winning jam making, before finding her way back home to the food she grew up with. Longing for Thai food of richer quality and variety in the U.S., Pim is now on a mission to liberate her beloved Thai cuisine from the tyranny of peanut sauce."
Peacock Pansy,(628) 246-2354,$$,4.5,55,https://www.yelp.com/biz/peacock-pansy-san-francisco?osq=Restaurants,peacockpansy.com,"Fried Chicken, French Toast, Smoked Salmon Benedict, Eggs Benedict, Morning America, Tom Yum Omelette, Black Angus Burger, Crab Omelette, Chicken Croffle, Truffled Cauliflower, Avocado Toast, Classic Bene, Shrimp Curry, Veggie Omelet, Supabowl, Chorizo","392 Fulton St San Francisco, CA 94102",Claimed,"Breakfast & Brunch, Asian Fusion, Thai","Vegan Options,Many Vegetarian Options,Casual, Trendy,Moderate Noise",,"speciality:


historyText:


businessOwnerBio:
"
Marcella’s Lasagneria,(415) 920-2225,$$,4.6,507,https://www.yelp.com/biz/marcellas-lasagneria-san-francisco-3?osq=Restaurants,marcellaslasagneria.net,"Mushroom Lasagna, Abruzzo Lasagna, Bolognese Lasagna, Caprese Salad, Butternut Squash Lasagna, Sicilian Eggplant Lasagna, Bianca Lasagna, Ravioli Al Tartufo, Penne Puttanesca","1099 Tennessee St San Francisco, CA 94107",Claimed,Italian,"Takes Reservations,Offers Takeout,Vegan Options",Chef Massimo D.,"speciality:
Welcome to Marcella's Lasagneria & Cucina, your local ambassador of fast- food, with a slow- food mentality! We are proposing a fresh take on classic, Italian favorites with the art of Lasagna making at the heart of our operation. Marcella's Lasagneria & Cucina aims to be your solution to making all-natural, fresh, and easy comfort food accessible to your family and friends at all times. We can even accommodate reservations for groups of 6 or more! 

We offer fresh varieties of Lasagna, flatbread pizzas, panini, salads and soups to feed your soul any day of the week; available here or even by arranging a delivery! As a family owned and operated business, we understand the demand on time that our modern lives impose, and we aim to partner with you to uphold a standard in food that is achievable for all. 

Nothing satisfies more completely than a piping hot portion of home made lasagna, a belief shared by many. Come visit us at our Dogpatch/Potrero location eat in the moment, order to-go, or pick-up for family events, Lunch time meetings, and much more! We're always happy to see you.

historyText:
As a family, we have been in the food business for the past 25 years in San Francisco. We like to think that our journey is coming full circle with our latest creation. We started over 20 years ago with a small cafe/restaurant that grew into a successful catering operation. As that chapter closed and others opened, we have successfully created all natural and organic  Italian food, product lines for local markets and Whole Foods Markets Northern California. With the desire to focus on our family operation and our passion for serving food in the moment, we are returning to our roots and re-opening our cafe /storefront in the Potrero/Dogpatch district. We look forward to seeing old friends and neighbors and meeting new ones as well. We hope you'll stop by, say hello, and enjoy the traditional Italian specialties we make for you!

businessOwnerBio:
Chef Massimo comes from the region of Abruzzo, in Southern Italy on the coast of the Adriatic. He grew up in the small, mountainside town of Fallo, a picturesque village on the outskirts of the National Park of Abruzzo. This particular region and even town is home to a number of great chefs in Italy, Europe, and other parts of the world. Chef Massimo is the Son of a great chef, and has carried on this legacy with extensive training throughout &nbsp;Europe, experience in Canada and finally the United States, where he now resides in San Francisco, Ca. For more on Chef Massimo&#39;s professional career, check out his LinkedIn profile."
WenChang Dumpling Restaurant,(415) 702-6156,,4.6,107,https://www.yelp.com/biz/wenchang-dumpling-restaurant-san-francisco?osq=Restaurants,wenchangusa.com,"Honey Sesame Chicken, Soup Dumplings, Xiao Long Bao, Chow Mein, General Tzo Orange Chicken, Braised Crispy Chicken, Kung Pao Chicken, Shrimp Dumplings, Broccoli Beef, Wonton Soup, Fried Chicken Wings, General Tso 's Chicken, Sweet and Sour Chicken, BBQ Pork Buns, Singapore Style Noodles, Bao Buns, Black Pepper Flank Steak, Shumai, Classic","1650 Balboa St San Francisco, CA 94121",Claimed,"Chinese, Noodles, Soup","Offers Delivery,Offers Takeout,Accepts Credit Cards,Offers Catering",Gan F.,"speciality:
Grand opening, call us at 415-702-6156

historyText:
None

businessOwnerBio:
Welcome to our restaurant! We will keep our food fresh, healthy and tasty all the time! Please place an order through our website or delivery app. I’m looking forward to hearing from you! Stay well, friends!"
Aria Korean Street Food,(415) 292-6914,$$,3.9,1186,https://www.yelp.com/biz/aria-korean-street-food-san-francisco?osq=Restaurants,ariasf.com,"Korean Fried Chicken Taco, Bulgogi Kimbap, Kimchi Fried Rice, Homies, Combo B, Veggie Kimbap, Bulgogi Taco","932 Larkin St San Francisco, CA 94109",Claimed,"Korean, Chicken Shop, Tacos","Offers Delivery,Offers Takeout,Many Vegetarian Options",Team ARIA K.,"speciality:
We make good Korean Fried Chicken.

historyText:
Family business since the 1970s

Local, hip and quick service restaurant serving quick trendy Korean Fried Chicken, Kimbap, Ramen & street food.

businessOwnerBio:
Local, hip and quick service restaurant serving quick trendy Korean Fried Chicken, kimbap, ramen &amp; street food. We bring street culture vibe from graffiti, street fashion collab, and hip-hop culture. <br><br>ARIA means bring fresh, fly, and fabulous. Describes strong will, intelligence, creativity, and realness."
Yuji,(415) 658-7128,,4.8,37,https://www.yelp.com/biz/yuji-san-francisco?osq=Restaurants,kappoyuji.com,"Fried Tile Fish, Japanese Wagyu Beef, Tilefish, Steamed Sea Perch, Steam Snow Crab, Ikura, Dobin Mushi, Grilled Fish Grilled Chilian Sea Bass, Monkfish Liver, Grilled Spanish Mackarel, Seared Belt Fish, Sunomono, Grilled Butter Fish, Wagyu Shabu Shabu, Marinated Asparagus, Ocean Trout, Roasted Duck, Roasted Kagoshima, Spanish Mackerel, Steamed Abalone","1700 post st Unit K San Francisco, CA 94115",Claimed,Japanese,Upscale,,"speciality:
Kappo kaiseki style restaurant

historyText:
None

businessOwnerBio:
None"
ABACÁ,(415) 486-0788,$$$,4,510,https://www.yelp.com/biz/abac%C3%A1-san-francisco-3?osq=Restaurants,Fisherman's Wharf,"Sisig Fried Rice, Pork Steamed Bun, Tocino Steamed Buns, BBQ Pork Bun, Tocino Pork Buns, Longganisa Pork Sausage, Savory Ensaymada French Toast, Squash Okoy Fritter, Black Truffle Loco Moco, Thin Cut Pork, Wagyu Tapsilog, Buko Lychee, Sweet Pineapple Kimchi, Crispy Octopus, Seafood Pancit, Tortang Talong Quiche, Garlic Rice, Smoked Chicken Palabok, Tocino Silog, Bay Scallop Pancit","2700 Jones St San Francisco, CA 94133",Claimed,Filipino,"Takes Reservations,Offers Takeout,Vegan Options",,"speciality:
ABACÁ is a contemporary Filipino-Californian restaurant, showcasing the beauty and vibrance of Filipino culture and cuisine.  This family-owned restaurant has been a years-long journey in the making, compiling generations old family recipes, using the best ingredients Northern California has to offer, executed with skill and passion, honed in the kitchens of some of San Francisco's most beloved restaurants.  

ABACÁ located in San Francisco's Fisherman's Wharf neighborhood, is the sister restaurant of Pinoy Heritage,  2018 Pop-Up of the Year and two-time San Francisco Chronicle Top 100 Restaurants, and the second concept from Chef Francis Ang, San Francisco Chronicle Rising Star Chef.  

ABACÁ is open for dinner Mon-Sat from 5 - 9pm. Reservations recommended. ABACÁ Panaderia open Wed-Sun from 7am - 2:30pm, features fresh baked pastries, ensaymada, and espresso drinks from Oakland's Mr. Espresso.  All goods offered on a first come, first served basis.  No call ahead orders at this time.

historyText:
None

businessOwnerBio:
None"
Poesia,(415) 252-9325,$$$,4,888,https://www.yelp.com/biz/poesia-san-francisco?osq=Restaurants,poesiasf.com,"Francesco, Filet Mignon, Squid Ink Pasta, Beet Salad, Squid Ink Risotto, Sea Bass, Fileji Di Renato, Grilled Calamari, Fettuccine Al Ragu Di Agnello, Eggplant Parmigiana, Heirloom Tomatoes, Tomato Bread Soup, Squid Ink Ravioli, Grilled Squid Salad, Pasta Nera, Lamb Ragu, Cannoli","4072 18th St San Francisco, CA 94114",Claimed,"Italian, Bars","Takes Reservations,Offers Takeout",Francesco D.,"speciality:
Poesia's musts are the pasta - all made fresh in-house. We work with sustainable and local ingredients when possible, changing the menu based on the season. Old classic recipes are served with a modern twist.

Like several other options on our varying menu, our Tagliatelle alla Bolognese is a house favorite available gluten-free. We offer many vegetarian-friendly options in addition to your traditional Italian favorites and more fine-dining selections - polenta, tiramisu, eggplant parmigiana, filet mignon, and more.

historyText:
Poesia's is Francesco d'Ippolito's first restaurant. Francesco is from Calabria (the tip of the toe of Italy) and his goal is to bring to the table the same flavor that he had back home.

businessOwnerBio:
I moved to San Francisco in 1999, and I worked in North Beach, managing different restaurants there. I finally got to the point where I was ready for my own restaurant and I find this wonderful little location in the heart of a colorful and happy neighborhood: The Castro.<br>I reached to the best employees that had worked with me in the past and I started my little dream."
El Farolito,(415) 824-7877,$,4.2,5418,https://www.yelp.com/biz/el-farolito-san-francisco-2?osq=Restaurants,elfarolitosf.com,"Carne Asada, Super Burrito, Quesadilla, Super Quesadilla Suiza, Quesadilla Suiza, Carnitas, Tortas","2779 Mission St San Francisco, CA 94110",Claimed,Mexican,Offers Takeout,,"speciality:


historyText:


businessOwnerBio:
"
Loló,(415) 643-5656,$$,4.2,2487,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4?osq=Restaurants,lolosf.com,"Taco Tropical, Fish Tacos, Tuna Tacon, Shrimp Tacos, Lamb Sliders, Beef Tacos, Panko Avocado Tacos, Fried Brussel, Grilled Octopus, Pistachio Encrusted Salmon, Fried Avocado Tacos, Kale Salad, Chicken Tinga Tostadas, Beef Birria Quesadillas, Shrimp Ceviche, Dungeness Crab Croquetas, Queso Fundido, Octopus Tiradito, Crab Tostadas, Fried Shrimp","974 Valencia St San Francisco, CA 94110",Claimed,"Mexican, Tapas/Small Plates","Takes Reservations,Pescatarian Options",,"speciality:
Loló is a family-owned restaurant that offers non-traditional and uniquely inspired Mexican food, utilizing local ingredients. Through the use of color, music and great food, coupled with the vision of one of Mexico's most creative designers, Loló invites people to experience Mexican culture and cuisine, reimagined.

historyText:
Fresh from opening two other restaurants in Guadalajara, Mexico- iLatina and Anita Li- Jorge Martínez and Lorena Zertuche founded Loló as an intimate neighbordhood restaurant in San Francisco's Mission District.

businessOwnerBio:
None"
Uncle Boy’s,(415) 742-4468,$$,3.9,769,https://www.yelp.com/biz/uncle-boys-san-francisco?osq=Restaurants,uncleboys.com,"Cowboy Burger, El Jefe Burger, Og Burger, Side Chick","245 Balboa St San Francisco, CA 94118",Claimed,"Burgers, Fast Food","Offers Delivery,Offers Takeout",John E.,"speciality:
Burgers & Fries

historyText:
Opened Dec 1, the owner of  ""Uncle Boy's"" was irate about the fact that there was no fast no frills burger restaurant on the balboa strip of the Inner Richmond District of San Francisco. Looking to fill the void ""Uncle Boy's"" founder thought it would be great to open one that would serve the classic American cheeseburger with different variations and twists and that is when the journey began.
The  name ""Uncle Boy's"" is an homage to widely used nick name “boy” and “baby” for women in the Filipino community and it’s common knowledge within the community that  ""every Filipino family has an uncle/tito boy and an aunty/tita baby"" which is almost always true!

businessOwnerBio:
I love food and I love San Francisco. I started this business with no restaurant service experience and I have enjoyed the adventure while simultaneously feeling the pains of the journey on learning on the Job. Over all just here counting the little blessings that being a restauranteur brings. Specially thankful for our regulars who have been the sole reason we are still open today! "
